time stamp	phase	duration	avgnrg	numhalfcycles	elapsedtime	lifetime_s	lifetime_asq	deltanrg	coilnrg	nrgloss	coiladj
103131	35	10	11.098	253	263.191	687.361	528.492	5.105	9.545	4.825	1.040335254
104022	35	10	8.001	122	126.439	240.369	203.98	4.49	6.129	1.678	1.006363191
104319	35	10	8.503	126	130.581	281.642	234.603	3.223	6.071	1.841	0.834129468
104740	30	10	9.762	122	126.433	225.644	183.124	7.503	7.738	2.047	1.234169036
105043	30	10	8.665	120	124.364	184.5	168.8	6.005	7.72	1.787	1.009326425
105344	30	10	9.912	122	126.428	262.342	224.71	6.327	7.365	2.078	1.141208418
105649	25	10	11.167	124	128.503	197.9	200.4	6.405	9.893	2.38	0.8880016173
110002	25	10	9.31	124	128.507	152.042	134.385	9.088	9.769	1.984	1.133381103
110338	25	10	10.083	126	130.584	173.483	165.273	8.53	9.977	2.183	1.07376967
110651	20	10	10.524	126	130.572	140.6	143.6	8.575	11.508	2.279	0.9431699687
110953	20	10	9.393	122	126.422	133.235	138.922	7.681	10.893	1.969	0.8858900211
111301	20	10	10.273	133	138.861	136.894	132.147	9.156	12.108	2.348	0.950115626
112022	20	15	12.311	122	126.443	108.836	109.774	14.061	16.023	2.582	1.038694377
112332	20	15	12.153	122	126.451	100.355	103.726	14.406	15.99	2.548	1.06028768
112622	20	15	11.881	120	124.349	102.535	106.794	13.054	15.888	2.451	0.9758937563
112922	25	15	11.132	120	133.772	162.8	141.8	15.264	12.524	2.41	1.411210476
113215	25	15	10.277	122	126.462	117.52	118.13	9.394	13.114	2.155	0.8806618881
113508	25	15	11.942	126	130.603	133.185	135.33	11.619	13.722	2.586	1.035198951
115658	35	15	9.125	130	134.748	189.829	194.82	6.775	8.487	2.039	1.038529516
120000	35	15	8.735	124	128.537	179.079	170.903	7.447	8.4	1.862	1.108214286
120251	35	15	9.386	134	138.89	220.954	197.759	8.268	8.467	2.162	1.231841266
095822	45	20	10.945	128	132.67	377.083	274.136	3.345	5.277	2.41	1.09058177
100250	45	20	10.923	120	124.365	327.798	468.143	3.801	5.399	2.253	1.121318763
100539	45	20	10.601	122	126.431	408.652	488.573	2.728	4.852	2.223	1.020403957
101103	45	15	9.767	122	126.421	756.498	289.968	3.136	4.597	2.048	1.127691973
101352	45	15	8.562	124	128.551	325.148	382.743	4.061	5.107	1.825	1.152535735
101648	45	15	8.639	123	128.527	398.317	226.643	11.009	5.273	1.827	2.434287882
114732	30	15	10.703	123	128.535	165.779	155.123	10.189	10.539	2.263	1.181516273
115028	30	15	9.149	124	128.542	139.151	124.022	8.962	10.737	1.95	1.01629878
115316	30	15	10.579	120	124.393	157.531	134.483	9.69	10.579	2.182	1.122223273
102133	30	20	14.63	122	126.473	157.217	195.022	10.86	12.396	3.069	1.123668925
102719	30	20	15.77	120	124.394	201.247	195.339	10.889	11.823	3.253	1.196143111
103412	30	20	15.605	122	126.475	162.959	176.694	3.412	12.557	3.273	0.5323723819
104204	20	20	18.425	121	123.881	150.628	156.38	21.437	21.209	3.865	1.192984111
103908	20	20	18.801	120	124.402	109.99	112	32.643	20.296	3.879	1.799467875
104525	20	20	22.33	120	124.409	126.49	141.214	21.248	21.547	4.607	1.199935026